date,trends_mrna,trends_moderna
2026-03-28,51,29
2026-03-29,57,30
2026-03-30,77,33
2026-03-31,73,34
2026-04-01,89,40
2026-04-02,71,34
2026-04-03,54,33
2026-04-04,42,29
2026-04-05,47,29
2026-04-06,64,38
2026-04-07,79,35
2026-04-08,87,36
2026-04-09,89,44
2026-04-10,79,36
2026-04-11,48,35
2026-04-12,41,34
2026-04-13,77,32
2026-04-14,83,37
2026-04-15,82,37
2026-04-16,83,40
2026-04-17,100,42
2026-04-18,51,33
2026-04-19,55,33
2026-04-20,86,35
2026-04-21,93,41
2026-04-22,99,36
2026-04-23,84,34
2026-04-24,76,37
2026-04-25,47,29
2026-04-26,55,29
2026-04-27,79,31
2026-04-28,74,30
2026-04-29,77,31
2026-04-30,85,33
2026-05-01,68,35
2026-05-02,50,29
2026-05-03,52,25
2026-05-04,70,30
2026-05-05,78,33
2026-05-06,72,39
2026-05-07,96,54
2026-05-08,77,70
2026-05-09,51,49
2026-05-10,64,43
2026-05-11,95,57
2026-05-12,77,44
2026-05-13,76,45
2026-05-14,69,37
2026-05-15,64,41
2026-05-16,43,34
2026-05-17,48,40
2026-05-18,62,37
2026-05-19,62,40
2026-05-20,60,38
2026-05-21,65,35
2026-05-22,89,39
2026-05-23,54,32
2026-05-24,42,34
2026-05-25,52,35
2026-05-26,63,37
2026-05-27,62,32
2026-05-28,64,35
2026-05-29,65,36
2026-05-30,51,34
2026-05-31,68,31
2026-06-01,67,36
2026-06-02,98,43
2026-06-03,58,32
2026-06-04,58,33
2026-06-05,72,30
2026-06-06,58,32
2026-06-07,63,31
2026-06-08,76,36
2026-06-09,78,40
2026-06-10,75,38
2026-06-11,71,37
2026-06-12,31,20
2026-06-13,25,17
2026-06-14,36,16
2026-06-15,64,23
2026-06-16,37,24
2026-06-17,38,26
2026-06-18,49,28
2026-06-19,34,25
2026-06-20,32,19
2026-06-21,27,19
2026-06-22,53,31
2026-06-23,62,27
2026-06-24,58,27
2026-06-25,31,22
2026-06-26,35,26
