date,trends_sq,trends_block_(square)
2026-03-28,74,5
2026-03-29,82,5
2026-03-30,81,7
2026-03-31,85,8
2026-04-01,89,12
2026-04-02,82,8
2026-04-03,93,9
2026-04-04,81,9
2026-04-05,80,9
2026-04-06,89,10
2026-04-07,91,11
2026-04-08,85,10
2026-04-09,91,11
2026-04-10,82,11
2026-04-11,90,11
2026-04-12,94,11
2026-04-13,87,12
2026-04-14,89,10
2026-04-15,92,10
2026-04-16,93,12
2026-04-17,100,12
2026-04-18,97,11
2026-04-19,88,10
2026-04-20,84,8
2026-04-21,84,9
2026-04-22,87,8
2026-04-23,85,8
2026-04-24,84,6
2026-04-25,78,6
2026-04-26,83,9
2026-04-27,79,7
2026-04-28,79,6
2026-04-29,80,6
2026-04-30,90,6
2026-05-01,80,6
2026-05-02,80,6
2026-05-03,81,5
2026-05-04,81,5
2026-05-05,81,6
2026-05-06,80,6
2026-05-07,79,7
2026-05-08,79,6
2026-05-09,74,6
2026-05-10,71,6
2026-05-11,75,5
2026-05-12,81,5
2026-05-13,84,9
2026-05-14,85,10
2026-05-15,83,10
2026-05-16,88,10
2026-05-17,93,12
2026-05-18,91,10
2026-05-19,94,9
2026-05-20,87,7
2026-05-21,78,7
2026-05-22,90,7
2026-05-23,86,6
2026-05-24,75,5
2026-05-25,75,6
2026-05-26,78,5
2026-05-27,85,5
2026-05-28,86,5
2026-05-29,87,6
2026-05-30,79,6
2026-05-31,87,7
2026-06-01,83,5
2026-06-02,84,5
2026-06-03,88,6
2026-06-04,77,6
2026-06-05,79,7
2026-06-06,81,7
2026-06-07,85,7
2026-06-08,82,7
2026-06-09,85,7
2026-06-10,90,7
2026-06-11,81,7
2026-06-12,74,3
2026-06-13,63,3
2026-06-14,60,3
2026-06-15,72,3
2026-06-16,71,3
2026-06-17,69,3
2026-06-18,67,3
2026-06-19,63,3
2026-06-20,61,3
2026-06-21,59,3
2026-06-22,73,3
2026-06-23,72,3
2026-06-24,75,3
2026-06-25,70,3
2026-06-26,61,2
